Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
Braunton,11/07/2016,97,A1,,20160712_215308.wac,0,1031.425,2.073,0_20160712_221019_425,12/07/2016,22:10:19,22,12/07/2016,10:10:19,10,RHFE,4,4,0.410921,,4,79.231,15.2,8.354,82.066,75.421,80.15,57.146,80.416,1.465,-718.441,7.458,3.27,1,RHFE
Braunton,11/07/2016,97,A1,,20160712_215308.wac,0,996.809,2.289,0_20160712_220944_809,12/07/2016,22:09:44,22,12/07/2016,10:09:44,10,RHFE,9,9,0.508692,,9,80.929,-0.84,13.447,84.775,75.383,81.111,38.956,81.041,4.059,84.047,11.013,4.65,1,RHFE
Braunton,11/07/2016,97,A1,,20160712_215308.wac,0,749.285,2.113,0_20160712_220537_285,12/07/2016,22:05:37,22,12/07/2016,10:05:37,10,RHFE,3,3,0.785412,,3,80.555,0.01,14.876,82.211,78.975,80.419,53.151,80.566,0.567,290.522,12.142,1.85,1,RHFE
Braunton,11/07/2016,97,A1,,20160712_215308.wac,0,1291.315,2.284,0_20160712_221439_315,12/07/2016,22:14:39,22,12/07/2016,10:14:39,10,RHFE,6,6,0.625088,,8,80.849,1.53,15.257,84.387,74.989,80.617,46.027,81.271,5.047,12.546,13.688,7.13,1,RHFE
Braunton,11/07/2016,97,A1,,20160713_035313.wac,0,2320.015,2.084,0_20160713_043153_015,13/07/2016,04:31:53,4,12/07/2016,16:31:53,16,RHFE,4,4,0.638668,,4,79.412,8.55,15.139,81.854,75.759,79.927,52.683,80.416,1.866,69.647,14.392,3.87,1,RHFE
Braunton,11/07/2016,97,A1,,20160713_035313.wac,0,2369.197,2.101,0_20160713_043242_197,13/07/2016,04:32:42,4,12/07/2016,16:32:42,16,RHFE,4,4,0.674684,,4,80.033,2.15,14.879,82.982,76.079,80.333,48.422,80.449,4.421,-251.138,11.668,1.29,1,RHFE
Braunton,11/07/2016,97,A1,,20160712_215308.wac,0,1131.143,2.256,0_20160712_221159_143,12/07/2016,22:11:59,22,12/07/2016,10:11:59,10,RHFE,7,7,0.674482,,9,80.398,0.83,15.013,83.933,74.699,80.326,37.785,80.58,3.509,80.303,10.231,8.09,1,RHFE
Braunton,11/07/2016,52,A2,,20160714_035244.wac,0,2237.644,2.055,0_20160714_043001_644,14/07/2016,04:30:01,4,13/07/2016,16:30:01,16,RHFE,9,9,0.706374,,9,82.203,2.79,6.062,84.581,80.82,82.388,141.329,82.59,0.829,-82.1,6.008,4.13,1,RHFE
Braunton,11/07/2016,52,A2,,20160715_035152.wac,0,2617.66,2.039,0_20160715_043529_660,15/07/2016,04:35:29,4,14/07/2016,16:35:29,16,RHFE,2,2,0.794042,,2,81.242,3.54,5.267,82.483,80.408,81.331,79.168,81.633,0.049,-14.399,5.267,1.31,1,RHFE
Braunton,11/07/2016,52,A2,,20160715_035152.wac,0,2720.283,2.216,0_20160715_043712_283,15/07/2016,04:37:12,4,14/07/2016,16:37:12,16,RHFE,4,4,0.558997,,4,80.055,-3.55,11.489,82.332,77.201,80.019,89.364,79.843,1.743,-81.099,10.741,4.31,1,RHFE
Braunton,11/07/2016,52,A2,,20160712_035425.wac,0,2504.645,2.053,0_20160712_043609_645,12/07/2016,04:36:09,4,11/07/2016,16:36:09,16,RHFE,6,3,0.065774,NYNO,6,49.709,9.69,5.969,51.129,48.322,50.193,294.763,50.303,2.151,-154.615,4.19,1.48,1,RHFE NYNO
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,748.867,9.432,0_20160715_220236_867,15/07/2016,22:02:36,22,15/07/2016,10:02:36,10,PIPI,39,29,0.209303,MYBR;PIPY;MYBE;RHFE,41,50.464,43.79,2.853,64.416,48.591,53.244,184.588,51.344,1.506,453.058,2.339,15.39,1,RHFE PIPI
Braunton,11/07/2016,29,B1,,20160716_035244.wac,0,993.339,6.26,0_20160716_040917_339,16/07/2016,04:09:17,4,15/07/2016,16:09:17,16,PIPI,18,17,0.378884,MYBR,19,44.879,22.82,2.632,51.533,43.903,46.233,241.462,45.725,1.146,274.816,2.177,6.91,1,RHFE PIPI
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,699.863,5.336,0_20160715_220147_863,15/07/2016,22:01:47,22,15/07/2016,10:01:47,10,PIPI,26,18,0.140174,MYBR;RHFE;NYLE,27,55.802,-0.13,3.558,63.949,53.932,57.08,136.677,56.124,1.364,160.965,2.794,10.69,1,PIPI PIPI RHFE
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,697.033,2.765,0_20160715_220145_033,15/07/2016,22:01:45,22,15/07/2016,10:01:45,10,PIPI,5,5,0.599261,,6,48.396,-18.22,2.569,52.345,46.688,48.778,91.818,47.917,1.438,-129.955,2.24,3.72,1,RHFE PIPI
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,705.437,4.461,0_20160715_220153_437,15/07/2016,22:01:53,22,15/07/2016,10:01:53,10,PIPI,15,6,0.042357,RHFE;PIPY;MYBE;MYBR,15,64.688,63.61,4.384,73.999,60.575,64.807,173.337,66.098,1.275,272.261,3.11,9.66,1,PIPI RHFE RHFE PIPI
Braunton,11/07/2016,29,B1,,20160714_215105.wac,0,1387.219,2.28,0_20160714_221412_219,14/07/2016,22:14:12,22,14/07/2016,10:14:12,10,RHFE,7,7,0.67122,,9,82.411,9.81,9.676,85.172,79.55,82.742,263.456,83.16,4.458,65.007,8.447,3.87,1,RHFE RHFE
Braunton,11/07/2016,29,B1,,20160716_025058.wac,0,1235.309,2.489,0_20160716_031133_309,16/07/2016,03:11:33,3,15/07/2016,15:11:33,15,RHFE,11,11,0.664401,,15,81.687,43.09,13.885,84.523,77.782,82.188,38.297,82.672,3.939,-4.864,10.239,13.54,1,RHFE
Braunton,11/07/2016,29,B1,,20160714_025215.wac,0,3576.943,2.056,0_20160714_035151_943,14/07/2016,03:51:51,3,13/07/2016,15:51:51,15,RHFE,3,3,0.747885,,3,82.2,0.05,13,83.345,80.827,82.133,94.584,82.211,0.849,215.276,12.526,1.33,1,RHFE
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,682.804,11.095,0_20160715_220130_804,15/07/2016,22:01:30,22,15/07/2016,10:01:30,10,RHFE,65,33,0.054166,PIPI;BABA;MYBR;PIPY;MYDAU,74,65.12,12.83,4.582,72.482,62.768,66.07,135.942,65.663,1.81,245.583,3.645,26.43,1,PIPI RHFE PIPI RHFE PIPI
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,710.084,9.815,0_20160715_220158_084,15/07/2016,22:01:58,22,15/07/2016,10:01:58,10,RHFE,59,36,0.096845,PIPI;MYBR;MYBE;MYNA,68,69.02,14.8,5.773,75.621,65.175,69.425,140.466,69.515,2.082,206.229,4.631,26.15,1,PIPI PIPI RHFE RHFE RHFE PIPI
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,726.643,3.356,0_20160715_220214_643,15/07/2016,22:02:14,22,15/07/2016,10:02:14,10,RHFE,27,27,0.630255,,32,82.604,-2.7,7.939,85.134,78.803,82.558,48.909,82.586,2.708,-4.064,6.366,11.38,1,RHFE
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,731.165,3.233,0_20160715_220219_165,15/07/2016,22:02:19,22,15/07/2016,10:02:19,10,RHFE,24,23,0.612627,MYBE,26,81.836,18.73,6.539,84.356,79.383,82.111,123.215,82.042,2.457,37.924,4.896,12.03,1,RHFE RHFE
Braunton,11/07/2016,29,B1,,20160715_215008.wac,0,741.348,2.251,0_20160715_220229_348,15/07/2016,22:02:29,22,15/07/2016,10:02:29,10,RHFE,7,7,0.604106,,8,81.394,33.9,12.129,85.735,78.638,82.177,41.623,82.197,4.71,115.506,10.472,4.11,1,RHFE
Braunton,11/07/2016,29,B1,,20160716_035244.wac,0,113.452,2.447,0_20160716_035437_452,16/07/2016,03:54:37,3,15/07/2016,15:54:37,15,RHFE,8,8,0.516609,,13,82.302,7.17,14.223,85.724,77.822,82.421,47.009,82.83,7.713,-329.598,12.266,4.87,1,RHFE
Braunton,11/07/2016,29,B1,,20160712_215305.wac,0,1516.895,2.204,0_20160712_221821_895,12/07/2016,22:18:21,22,12/07/2016,10:18:21,10,RHFE,7,7,0.669595,,7,80.382,1.68,13.524,83.734,74.047,80.109,37.313,80.606,2.695,245.468,12.262,4.74,1,RHFE
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,1852.551,2.848,0_20160712_222403_551,12/07/2016,22:24:03,22,12/07/2016,10:24:03,10,NoID,2,0,0,MYNA,3,58.425,36.45,2.625,70.989,57.065,60.8,830.142,59.53,1.292,-430.068,2.518,1.36,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160715_025457.wac,0,2795.508,3.291,0_20160715_034132_508,15/07/2016,03:41:32,3,14/07/2016,15:41:32,15,NoID,2,0,0,MYBR,3,49.852,46.12,2.715,67.639,48.206,52.666,479.381,51.327,1.804,746.612,2.448,1.55,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160713_235454.wac,0,1902.508,2.491,0_20160714_002636_508,14/07/2016,00:26:36,0,13/07/2016,12:26:36,12,NoID,1,0,0,,2,49.302,-38.26,3.122,59.242,47.817,50.737,186.699,48.518,1.58,-73.047,2.312,1.09,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,1718.484,4.015,0_20160712_222149_484,12/07/2016,22:21:49,22,12/07/2016,10:21:49,10,NoID,2,0,0,PIPI,2,45.755,86.67,2.223,59.568,44.822,48.593,524.045,47.727,0.864,498.301,1.827,0.47,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,3378.484,2.015,0_20160712_224929_484,12/07/2016,22:49:29,22,12/07/2016,10:49:29,10,Noise,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160715_015622.wac,0,994.419,2.48,0_20160715_021256_419,15/07/2016,02:12:56,2,14/07/2016,14:12:56,14,PIPI,2,2,0.676563,,2,44.569,42.49,2.304,50.811,44.322,46.023,21.294,46.114,0.836,268.557,2.034,0.45,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160714_205100.wac,0,3534.259,7.34,0_20160714_214954_259,14/07/2016,21:49:54,21,14/07/2016,09:49:54,9,PIPI,15,10,0.103484,RHFE,16,56.211,24.91,3.16,63.089,55.048,57.604,464.57,57.445,1.057,338.628,2.34,6.19,1,PIPI PIPI RHFE RHHI
Braunton,11/07/2016,95,B2,,20160714_205100.wac,0,3499.323,32.876,0_20160714_214919_323,14/07/2016,21:49:19,21,14/07/2016,09:49:19,9,PIPI,106,76,0.264199,PIPY;BABA;MYBR;MYBE;RHFE,114,48.322,33.94,2.471,57.349,47.429,50.338,272.872,49.833,0.97,309.814,2.164,34.74,1,PIPI PIPI PIPY PIPI PIPY PIPI PIPY PIPY RHFE
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,598.848,37.751,0_20160712_220309_848,12/07/2016,22:03:09,22,12/07/2016,10:03:09,10,PIPI,105,86,0.279864,BABA;PINA;PIPY;MYBR;MYBE,111,45.533,34.27,2.443,51.87,44.892,46.978,330.783,47.02,0.817,234.849,2.085,32.88,1,PIPI PIPY PIPI RHFE PIPI RHFE PIPI PIPI PIPI RHHI PIPI RHHI RHHI PIPI
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,443.22,29.979,0_20160712_220034_220,12/07/2016,22:00:34,22,12/07/2016,10:00:34,10,PIPI,89,54,0.168268,PIPY;BABA;MYBR;PINA;MYBE;RHFE,103,47.803,39.38,2.319,57.97,47.116,50.058,291.649,49.578,0.872,381.897,1.967,33.52,1,PIPI PIPI PIPI RHFE PIPI PIPI PIPI
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,1595.936,3.763,0_20160712_221946_936,12/07/2016,22:19:46,22,12/07/2016,10:19:46,10,PIPI,4,3,0.260131,MYBR,4,44.708,58.5,2.822,56.362,43.533,47.075,548.93,46.455,1.509,489.191,2.391,1.58,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160713_215323.wac,0,335.517,2.481,0_20160713_215858_517,13/07/2016,21:58:58,21,13/07/2016,09:58:58,9,PIPI,4,4,0.428538,,4,43.735,40.7,2.283,50.267,43.211,45.309,125.418,45.142,0.798,400.854,2,0.89,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160712_235554.wac,0,1774.608,2.191,0_20160713_002528_608,13/07/2016,00:25:28,0,12/07/2016,12:25:28,12,PIPI,4,4,0.6393,,4,46.515,57.94,2.246,53.882,46.446,48.601,46.967,48.949,0.767,319.347,2.054,0.76,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,538.86,3.739,0_20160712_220209_860,12/07/2016,22:02:09,22,12/07/2016,10:02:09,10,PIPI,4,3,0.295924,PIPY,4,48.427,50.8,2.253,57.056,48.427,50.637,736.488,50.776,0.873,374.471,2.191,0.93,1,RHFE PIPI
Braunton,11/07/2016,95,B2,,20160712_215311.wac,0,556.929,19.569,0_20160712_220227_929,12/07/2016,22:02:27,22,12/07/2016,10:02:27,10,PIPI,44,29,0.175815,PIPY;BABA;PINA;MYBR;MYBE;MYDAU;RHFE,55,49.662,37.21,2.456,57.598,47.844,50.982,333.749,50.9,1.007,278.147,2.04,23.7,1,PIPI RHFE PIPI PIPI PIPI PIPI PIPI PIPI RHFE
