Site,Site Number,Detector number,Number of days,X coordinate,Y coordinate,Total GHS pass,Total pass 1 sec gap,Avg pass,ave pass per night 1 sec,Woodland,Woodland Edge,Hedgerow,Treeline,Water,Grassland,Arable Farmland,Ploughed Land,Orchard,Livestock,Signs of Livestock,Stree lights,Buildings,Human Activity,Hedgerow Height,Hedgerow with trees,Livestock type,Building Type,Human activity type,Additional information,Data Collected
Buckfastleigh,3,C2,7,275964.9003,64865.58796,40,44,5.714285714,6.285714286,,,,,,,x,x,,,,,,,,,,,,Arable field which had been harvested/ploughed,
Buckfastleigh,4,C1,1,272642.6209,64232.74104,3,3,3,3,,,x,,,x,x,,,,x,,,,Above,,Cattle,,,"Mike DWT. Evidence of recent cattle activity. Tall burly hedges. When collected, had been damaged by cattle (microphone pulled out, SM2 moved, cable chewed etc)",
Buckfastleigh,5,P2,5,272733.9024,64050.17818,0,0,0,0,,,x,x,,x,,,,x,,,x,,,,Cattle,Hay barn.,,Mike DWT. Cattle in adjacent field.,
Buckfastleigh,7,X1,7,272428.308,64002.55308,11,11,1.571428571,1.571428571,,,,,,x,,,,x,x,,,,,,,,,Moved. Dairy heifers in next door field - none in target field.,
Buckfastleigh,8,O2,3,272277.4952,63501.16666,3,3,1,1,,,,,,x,,,,x,x,,,,,,,,,Dairy cattle in neighbouring field. Cattle were let in - mic and cable trashed.,
Buckfastleigh,10,D1,1,272318.5057,63711.51083,7,7,7,7,,,x,x,,x,,,,,x,,,,Above,,,,,Cattle in next field.,
Buckfastleigh,11,Z1,4,273359.0699,63777.64577,32,36,8,9,,,x,,,,x,,,,x,,,,,,,,,Fence. Dung.,
Buckfastleigh,12,G1,0,272920.9632,63558.84594,0,0,,,,,,,,,,,,x,x,x,x,x,,,Cattle,Barns/Milking shed,"Farming, traffic",No data recorded. Yard lighting.,
Buckfastleigh,13,L2,0,273324.674,63614.9267,0,0,,,,,,,,x,,,,,x,,,,,,,,,No data recorded. Dung.,
Buckfastleigh,14,S2,7,273299.5386,63858.34385,62,62,8.857142857,8.857142857,,,,,,x,,,,,,,,,,,,,,Silage,
Buckfastleigh,15,J2,0,273028.3842,63804.90894,0,0,,,,,,,,,,,,,,,,,,,,,,Didn't go out.,
Buckfastleigh,16,T1,5,273234.7155,63935.07317,20,21,4,4.2,,,x,,,x,,,,,,,,,Above,,,,,Silage.,
Buckfastleigh,17,M1,7,273754.4905,63905.60514,8,8,1.142857143,1.142857143,,x,x,,,x,,,,,,,,,Above,Yes,Cattle,,,Cattle in adjacent field,
Buckfastleigh,19,R2,0,273876.1991,63816.96955,0,0,,,,x,x,,,x,,,,x,,,,,Above,Yes,Cattle,,,No data recorded. Cattle in adjacent field.,
Buckfastleigh,20,J1,5,271669.6998,65369.92469,0,0,0,0,,,x,,,,x,,,,,,,,Below,No,,,,,
Buckfastleigh,22,D2,6,272000.9588,64890.49873,21,21,3.5,3.5,,,x,,,,x,,,,,,,,Below,No,,,Farming,On the apex of the field hedgerow. Broken hedge between grass field and mature maize field. Woodland approx 100m away.,
