Site,Detector number,Survey date,DATE,TIME,Site Number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,HOUR,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
Buckfastleigh,R1,05/09/2016,06/09/2016,00:00:20,23,,20160906_000020.wav,0,0,2.321,0_20160906_000020_000,0,12:00:20,12,RHFE,5,5,0.764344,,5,80.333,0.17,16.841,81.646,71.472,80.013,118.778,80.346,1.97,41.205,16.82,3.33,1,RHFE
Buckfastleigh,I2,05/09/2016,06/09/2016,00:01:07,72,,20160906_000107.wav,0,0,2.248,0_20160906_000107_000,0,12:01:07,12,RHFE,8,8,0.600494,,8,80.649,0.58,12.379,84.658,74.525,80.614,33.105,80.837,4.623,105.466,9.777,2.84,1,RHFE
Buckfastleigh,T1,05/09/2016,06/09/2016,00:06:43,16,,20160906_000643.wav,0,0,2.129,0_20160906_000643_000,0,12:06:43,12,RHFE,3,3,0.756436,,3,82.2,0.31,8.05,83.949,80.827,82.375,110.26,81.927,0.358,69.145,6.117,0.68,1,RHFE
Buckfastleigh,E1,05/09/2016,06/09/2016,00:11:46,36,,20160906_001146.wav,0,0,2.064,0_20160906_001146_000,0,12:11:46,12,RHFE,4,4,0.768273,,5,81.483,-2.28,8.88,83.4,80.013,81.571,35.252,81.15,0.274,141.011,7.841,3.55,1,RHFE
Buckfastleigh,X1,05/09/2016,12/09/2016,00:12:02,7,,20160912_001202.wav,0,0,2.508,0_20160912_001202_000,0,12:12:02,12,RHFE,8,8,0.541727,,8,81.964,-0.23,18.708,83.679,78.16,82.024,108.529,82.492,0.334,-82.493,17.414,5.45,1,RHFE
Buckfastleigh,R1,05/09/2016,07/09/2016,00:14:28,23,,20160907_001428.wav,0,0,2.04,0_20160907_001428_000,0,12:14:28,12,RHFE,3,3,0.60663,,3,82.211,1.77,26.76,83.924,79.113,82.489,104.648,82.766,0.21,100.148,25.99,2.8,1,RHFE
Buckfastleigh,Z2,05/09/2016,07/09/2016,00:14:56,50,,20160907_001456.wav,0,0,2.764,0_20160907_001456_000,0,12:14:56,12,RHFE,15,15,0.711436,,15,81.873,-1.06,20.301,82.778,74.77,81.511,120.428,81.097,1.101,-255.161,19.724,4.65,1,RHFE
Buckfastleigh,Z2,05/09/2016,07/09/2016,00:19:02,50,,20160907_001902.wav,0,0,2.485,0_20160907_001902_000,0,12:19:02,12,RHFE,3,3,0.790751,,3,81.372,-4.1,4.215,82.234,79.739,81.038,180.265,80.566,0.214,335.409,4.198,0.85,1,RHFE
Buckfastleigh,K2,05/09/2016,07/09/2016,00:22:47,55,,20160907_002247.wav,0,0,2.177,0_20160907_002247_000,0,12:22:47,12,RHFE,5,4,0.241075,MYBE,6,83.519,-46.71,9.267,86.437,77.21,82.491,32.484,82.908,4.145,-8.035,8.441,3.28,1,RHFE
Buckfastleigh,D2,05/09/2016,07/09/2016,00:23:54,22,,20160907_002354.wav,0,0,2.087,0_20160907_002354_000,0,12:23:54,12,RHFE,3,3,0.540763,,3,82.483,-2.39,14.515,85.848,77.751,82.457,30.043,82.2,4.885,135.041,14.033,1.39,1,RHFE
Buckfastleigh,R1,05/09/2016,07/09/2016,00:24:44,23,,20160907_002444.wav,0,0,2.513,0_20160907_002444_000,0,12:24:44,12,RHFE,7,4,0.080748,PINA;PIPI,7,64.305,0.47,31.449,65.705,63.179,64.402,122.047,64.346,2.285,137.864,29.884,3.08,1,RHFE
Buckfastleigh,V1,05/09/2016,07/09/2016,00:26:26,63,,20160907_002626.wav,0,0,2.257,0_20160907_002626_000,0,12:26:26,12,RHFE,8,8,0.611691,,8,82.496,0.24,23.811,84.007,81.429,82.633,125.968,82.806,0.17,-88.87,23.429,2.59,1,RHFE
Buckfastleigh,K2,05/09/2016,07/09/2016,00:31:54,55,,20160907_003154.wav,0,0,2.137,0_20160907_003154_000,0,12:31:54,12,RHFE,3,3,0.626047,,3,82.494,-1,10.173,85.238,80.889,82.299,63.79,82.2,4.455,286.902,9.251,0.84,1,RHFE
Buckfastleigh,M1,05/09/2016,06/09/2016,00:33:27,17,,20160906_003327.wav,0,0,2.063,0_20160906_003327_000,0,12:33:27,12,RHFE,6,6,0.759425,,7,81.293,1.51,3.762,83.365,79.16,81.323,68.664,81.88,0.667,274.841,3.683,2.33,1,RHFE
Buckfastleigh,K2,05/09/2016,08/09/2016,00:36:11,55,,20160908_003611.wav,0,0,2.244,0_20160908_003611_000,0,12:36:11,12,RHFE,3,3,0.606658,,4,82.058,-1.89,19.312,83.574,79.217,81.931,96.32,81.854,4.669,3.49,18.86,4.46,1,RHFE
Buckfastleigh,Z1,05/09/2016,06/09/2016,00:40:28,11,,20160906_004028.wav,0,0,3.229,0_20160906_004028_000,0,12:40:28,12,RHFE,13,13,0.601198,,13,82.289,0.1,32.675,83.353,78.235,82.399,119.101,82.041,0.526,36.095,32.576,5.63,1,RHFE
Buckfastleigh,K2,05/09/2016,07/09/2016,00:44:02,55,,20160907_004402.wav,0,0,2.131,0_20160907_004402_000,0,12:44:02,12,RHFE,3,3,0.513955,,3,81.372,8.04,19.775,84.296,79.071,81.845,60.312,82.495,4.528,-175.421,19.008,1.74,1,RHFE
Buckfastleigh,C2,05/09/2016,06/09/2016,00:49:13,3,,20160906_004913.wav,0,0,2.135,0_20160906_004913_000,0,12:49:13,12,RHFE,6,6,0.580655,,7,82.741,15.6,4.798,85.826,77.517,82.264,21.107,83.344,1.383,294.646,4.016,3.22,1,RHFE
Buckfastleigh,V1,05/09/2016,06/09/2016,00:49:49,63,,20160906_004949.wav,0,0,2.385,0_20160906_004949_000,0,12:49:49,12,RHFE,9,9,0.542013,,9,81.568,-0.25,27.308,82.888,76.496,81.562,125.835,81.489,1.642,130.77,27.014,2.8,1,RHFE
Buckfastleigh,K2,05/09/2016,08/09/2016,00:52:07,55,,20160908_005207.wav,0,0,2.064,0_20160908_005207_000,0,12:52:07,12,RHFE,2,2,0.793793,,2,81.224,-0.23,16.391,83.389,80.047,81.632,96.749,81.224,2.158,301.293,14.895,0.54,1,RHFE
Buckfastleigh,R1,05/09/2016,07/09/2016,01:00:45,23,,20160907_010045.wav,0,0,2.14,0_20160907_010045_000,1,13:00:45,13,RHFE,6,5,0.316006,PINA,6,74.126,0.66,15.524,75.617,70.495,74.572,144.45,74.581,0.241,154.937,14.77,21.43,1,RHFE
Buckfastleigh,U2,05/09/2016,12/09/2016,01:04:00,70,,20160912_010400.wav,0,0,2.02,0_20160912_010400_000,1,13:04:00,13,RHFE,7,7,0.548299,,7,83.845,-0.41,13.516,85.128,80.526,83.871,316.145,83.476,0.102,33.773,13.077,3.35,1,RHFE
Buckfastleigh,M2,05/09/2016,06/09/2016,01:08:51,37,,20160906_010851.wav,0,0,2.821,0_20160906_010851_000,1,13:08:51,13,RHFE,32,25,0.23094,PINA;PIPI,35,74.482,-2.71,8.094,76.654,70.72,74.208,66.157,74.336,2.285,-2.999,6.119,11.59,1,RHFE
Buckfastleigh,E1,05/09/2016,06/09/2016,01:10:06,36,,20160906_011006.wav,0,0,2.179,0_20160906_011006_000,1,13:10:06,13,RHFE,8,8,0.6763,,8,82.079,-3.9,6.78,84.892,77.611,81.662,24.764,81.454,1.229,74.552,5.285,4.13,1,RHFE
Buckfastleigh,T2,05/09/2016,12/09/2016,01:17:09,71,,20160912_011709.wav,0,0,2.028,0_20160912_011709_000,1,13:17:09,13,RHFE,2,2,0.696653,,2,82.058,-0.22,18.816,82.483,81.633,82.013,120.419,81.633,0.049,305.111,18.816,2.33,1,RHFE
