Site,Site Number,Detector number,Survey start date,Survey end date,Number of days,X coordinate,Y coordinate,Total GHS pass,Total pass 1 sec gap,Avg pass,ave pass per night 1 sec,Woodland,Woodland Edge,Hedgerow,Treeline,Water,Grassland,Arable Farmland,Ploughed Land,Orchard,Livestock,Signs of Livestock,Stree lights,Buildings,Human Activity,Hedgerow Height,Hedgerow with trees,Livestock type,Building Type,Human activity type,Additional information,Data Collected
Buckfastleigh,100,O1,25/07/2016,30/07/2016,6,274774,67323,0,0,,,,x,,x,x,x,,,,x,x,,,x,,,Cattle,,Farming,Grassland used for grazing. Cow dung present. Next to A38.,Short
Buckfastleigh,110,C1,25/07/2016,30/07/2016,6,275752,66893,0,0,0,0,,,x,,,,x,,,x,,,x,x,Above,Yes,Cattle,Derelict barn nearby,Farming,Detector did not record past 25khz,N
Buckfastleigh,105,S1,25/07/2016,29/07/2016,5,275414,66402,0,0,,,,,,,,,x,,,,,,,,,,,,,Middle of field (barley and beans). Cane not long enough - could only attach mic just above  barley,Short
Buckfastleigh,133,F2,25/07/2016,01/08/2016,7,274516,65925,0,0,0,0,,,x,x,,x,,,,x,,,,x,Above,Yes,Horses,Sheds,Property owner using sheds occasionally,Sheds and horses in adjacent fields. At a hedgerow junction next to a little-used lane.,Y
Buckfastleigh,112,N1,25/07/2016,29/07/2016,5,274157,66800,0,0,,,x,x,,,,,,,,,,,,,Above,,,,,"Hedge and trees overgrown. Overgrown path nearby, private and not used for 10 years.",Short
Buckfastleigh,115,J2,25/07/2016,25/07/2016,1,273107,65424,0,0,,,,,x,,,,x,,,,,,,x,Head height,No,,,Harvesting,"Unable to locate detector in specified location due to wheat being harvested. Positioned on edge of field at location shown on map. When collected, hedge had been cut. Retrieved box but could not find microphone.",Short
Buckfastleigh,128,M2,25/07/2016,30/07/2016,6,274949,65417,0,0,0,0,,,x,,,x,,,,x,,,,,,Yes,Cattle,,,Little human activity. A38 nearby but not visible. Cattle in adjacent fields. Detector just set to june,Short
Buckfastleigh,162,N2,25/07/2016,26/07/2016,2,273465,65344,0,0,0,0,,,,x,,,,,,,,,,x,,,,,Traffic,Roadside,Short
Buckfastleigh,135,A1,25/07/2016,02/08/2016,8,273984,66483,0,,,,,,x,,,x,x,,,,x,,x,x,Below,No,Sheep and cattle,Shower and toilet block,"Campers, walkers, some vehicles on campsite",Campground with low level lighting all night. Arable and some sheep. Didn't see livestock but sheep and cattle present,Y
Buckfastleigh,145,B2,25/07/2016,01/08/2016,7,273290,66512,1,1,0.142857143,0.142857143,,,,,,,,,,,,x,x,x,,,,,Residential,"Residential estate of 131 properties, lawned gardens with shrubs/trees. Adjacent fields with sheep.",Y
