Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,,,,,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1249.069,15.329,0_20160726_000002_069,26/07/2016,00:00:02,0,25/07/2016,12:00:02,12,PIPY,109,90,0.293424,BABA;RHFE;MYBE;MYBR;MYNA;PINA,113,57,38.14,6.076,68.019,55.622,59.206,114.88,58.768,1.3,326.289,5.613,23.87,1,PIPY PIPY RHFE RHFE,,,1938,2,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,1369.848,30.451,0_20160727_000003_848,27/07/2016,00:00:03,0,26/07/2016,12:00:03,12,PIPY,175,156,0.371574,BABA;RHFE;MYNA;PLAUR,187,55.639,45.37,3.347,67.471,54.861,58.293,152.329,57.893,1.193,339.706,3.128,62.97,1,PIPY PIPY RHFE,,,2085,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1266.873,52.725,0_20160726_000019_873,26/07/2016,00:00:19,0,25/07/2016,12:00:19,12,PIPY,337,316,0.529541,BABA;RHFE;MYBR;MYNA;VEMU,347,54.131,38.43,3.136,66.362,53.669,56.825,146.389,55.938,1.333,381.896,2.837,102.55,1,RHFE PIPY MYO MYO,,,2291,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1462.529,14.869,0_20160728_000035_529,28/07/2016,00:00:35,0,27/07/2016,12:00:35,12,PIPY,40,23,0.076162,RHFE;BABA,41,65.554,13.09,8.09,73.611,63.409,66.761,272.061,66.234,1.138,182.953,7.902,8.84,1,PIPY MYO PIPY PIPY MYO RHFE,,,1675,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1491.092,5.907,0_20160728_000104_092,28/07/2016,00:01:04,0,27/07/2016,12:01:04,12,RHFE,11,11,0.533025,,11,82.338,0.26,15.033,83.511,77.592,82.154,119.22,82.341,1.325,-340.299,15.011,6.83,1,MYO RHFE,,,1582,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1499.337,4.161,0_20160728_000112_337,28/07/2016,00:01:12,0,27/07/2016,12:01:12,12,RHFE,9,9,0.701602,,13,77.739,19.49,14.329,81.49,71.574,78.426,102.556,79.472,1.685,74.806,14.257,2.79,1,MYO RHFE,,,1563,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,1621.308,87.191,0_20160729_000115_308,29/07/2016,00:01:15,0,28/07/2016,12:01:15,12,PIPY,608,568,0.509696,BABA;PIPI;MYNA;MYBR;RHFE;MYBE;NYLE;PLAUR;VEMU,624,53.993,36.22,3.229,65.7,53.259,56.616,136.544,55.804,1.325,326.615,2.915,161.94,1,PIPY PIPY RHFE RHFE MYO PIPY,,,2407,2,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1525.104,6.895,0_20160728_000138_104,28/07/2016,00:01:38,0,27/07/2016,12:01:38,12,RHFE,7,7,0.701874,,7,82.498,2.62,12.571,83.999,81.288,82.535,161.299,82.62,1.048,172.791,12.434,6.48,1,MYO RHFE,,,1539,1,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,1472.4,41.499,0_20160727_000146_400,27/07/2016,00:01:46,0,26/07/2016,12:01:46,12,PIPY,249,225,0.391417,BABA;MYNA;RHFE;PLAUR;EPSE;VEMU,256,54.06,40.5,3.206,66.457,53.475,56.86,148.559,56.177,1.267,305.914,2.94,69.38,1,PIPY PIPY PIPY RHFE,,,2213,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1548.671,4.528,0_20160728_000201_671,28/07/2016,00:02:01,0,27/07/2016,12:02:01,12,RHFE,5,4,0.187161,MYBR,5,74.664,-5.02,18.41,75.559,71.343,67.509,266.958,74.004,0.087,-655.222,18.275,1.5,1,MYO RHFE,,,1530,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1374.517,17.781,0_20160726_000207_517,26/07/2016,00:02:07,0,25/07/2016,12:02:07,12,PIPY,129,115,0.426987,BABA;RHFE;MYBR,137,55.821,26.55,4.46,66.938,54.711,57.911,117.516,57.229,1.353,294.857,4.025,64.8,1,PIPY RHFE,,,1977,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1556.191,2.908,0_20160728_000209_191,28/07/2016,00:02:09,0,27/07/2016,12:02:09,12,RHFE,6,6,0.57883,,6,82.211,0.64,17.947,83.351,76.845,81.929,159.547,82.064,0.4,-166.987,17.147,3.36,1,RHFE,,,1536,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1392.803,5.896,0_20160726_000225_803,26/07/2016,00:02:25,0,25/07/2016,12:02:25,12,RHFE,7,6,0.368084,PIPY,7,78.533,6.51,9.175,80.582,76.506,78.783,487.262,78.591,0.238,67.679,9.152,5.67,1,PIPY RHFE,,,1541,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,1709.177,14.221,0_20160729_000243_177,29/07/2016,00:02:43,0,28/07/2016,12:02:43,12,PIPY,116,93,0.290619,BABA;RHFE;MYBE;MYBR;MYDAU,125,57.107,38.19,5.002,68.056,55.258,59.358,111,58.771,1.379,262.127,4.643,34.41,1,PIPY MYO PIPY MYO RHFE,,,1954,1,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,1540.541,32.057,0_20160727_000254_541,27/07/2016,00:02:54,0,26/07/2016,12:02:54,12,PIPY,193,176,0.393438,BABA;RHFE;MYNA;EPSE,200,55.485,41.46,4.032,67.353,54.685,58.005,146.294,57.551,1.426,348.638,3.719,87.38,1,PIPY PIPY RHFE,,,2122,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,1723.635,4.064,0_20160729_000257_635,29/07/2016,00:02:57,0,28/07/2016,12:02:57,12,PIPY,22,22,0.625964,,24,52.687,5.22,3.206,65.52,51.99,54.884,97.752,53.912,1.579,443.082,2.817,6.27,1,PIPY RHFE,,,1625,1,
Buckfastleigh,,134,E1,,20160725_235524.wac,0,459.993,2.305,0_20160726_000303_993,26/07/2016,00:03:03,0,25/07/2016,12:03:03,12,PIPI,7,6,0.428965,PIPY,7,47.188,11.91,2.648,48.254,46.905,47.555,140.197,47.895,0.352,79.976,2.613,1.29,1,RHFE PIPY,,,136,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1640.539,23.86,0_20160728_000333_539,28/07/2016,00:03:33,0,27/07/2016,12:03:33,12,PIPY,180,163,0.399485,BABA;RHFE;MYNA,184,56.256,32.6,4.893,67.796,55.306,58.509,101.989,58.138,1.452,335.851,4.491,66.68,1,MYO PIPY RHFE,,,2105,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1478.12,29.179,0_20160726_000351_120,26/07/2016,00:03:51,0,25/07/2016,12:03:51,12,PIPY,200,169,0.332421,BABA;RHFE;MYNA;RHHI,204,56.693,35.67,4.971,68.497,55.41,59.042,132.085,58.274,1.411,314.565,4.616,68.25,1,PIPY PIPY RHFE RHFE,,,2136,2,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1671.956,13.043,0_20160728_000404_956,28/07/2016,00:04:04,0,27/07/2016,12:04:04,12,PIPY,110,93,0.28609,BABA;RHFE;MYBR,117,57.791,24.17,6.231,68.682,56.49,59.72,92.685,59.483,1.391,301.647,5.677,46.7,1,PIPY PIPY RHFE RHFE MYO,,,1940,2,
Buckfastleigh,,141,S2,,20160729_233305.wac,0,1869.717,2.781,0_20160730_000414_717,30/07/2016,00:04:14,0,29/07/2016,12:04:14,12,PINA,6,4,0.089461,RHFE,6,55.165,9.29,7.846,56.038,54.497,55.174,92.419,55.418,0.612,43.042,7.588,4.79,1,RHFE,,,1472,1,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,1621.668,31.631,0_20160727_000415_668,27/07/2016,00:04:15,0,26/07/2016,12:04:15,12,PIPY,247,212,0.286239,BABA;MYNA;PIPI;RHFE;NYNO;VEMU;EPSE;MYDAU,265,56.149,52.02,3.224,67.745,55.417,58.964,118.812,58.782,1.179,267.579,2.948,81.39,1,MYO PIPY PIPY RHFE,,,2212,1,
Buckfastleigh,,122,R1,,20160730_233118.wac,0,1996.137,102.861,0_20160731_000434_137,31/07/2016,00:04:34,0,30/07/2016,12:04:34,12,RHFE,5,4,0.121173,RHHI,60,60.475,40.23,2.447,89.26,57.769,66.683,1548.513,62.193,1.442,117.805,2.044,36.36,1,RHFE,,,922,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1709.451,61.248,0_20160728_000442_451,28/07/2016,00:04:42,0,27/07/2016,12:04:42,12,PIPY,452,426,0.482304,BABA;RHFE;MYNA;MYBR,468,55.272,32.82,3.706,68.158,54.706,57.935,126.03,57.194,1.461,401.749,3.401,109.05,1,PIPY MYO RHFE MYO RHFE MYO RHFE MYO PIPY,,,2355,3,
Buckfastleigh,,102,M1,,20160727_234149.wac,0,1382.791,2.208,0_20160728_000451_791,28/07/2016,00:04:51,0,27/07/2016,12:04:51,12,RHFE,6,6,0.546102,,6,83.795,-2.57,5.114,84.528,81.008,83.29,40.713,83.204,0.136,-86.378,5.106,2.16,1,RHFE,49,,518,1,31
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1539.04,10.759,0_20160726_000452_040,26/07/2016,00:04:52,0,25/07/2016,12:04:52,12,PIPY,101,88,0.355926,BABA;RHFE;VEMU,102,56.004,39.21,4.228,68.378,54.871,58.827,99.9,57.817,1.365,351.621,3.927,46.22,1,PIPY RHFE,,,1919,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1566.412,10.087,0_20160726_000519_412,26/07/2016,00:05:19,0,25/07/2016,12:05:19,12,PIPY,67,53,0.292994,BABA;RHFE,71,58.434,26.08,5.176,68.465,56.905,60.364,113.486,59.432,1.206,229.88,4.915,12.6,1,PIPY RHFE,,,1799,1,
Buckfastleigh,,132,U1,,20160725_233905.wac,0,1593.807,2.492,0_20160726_000538_807,26/07/2016,00:05:38,0,25/07/2016,12:05:38,12,RHFE,9,9,0.735147,,9,82.495,0.47,16.787,83.546,79.15,82.387,134.791,82.215,0.594,26.013,16.587,5.17,1,RHFE,,,2576,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1590.389,13.109,0_20160726_000543_389,26/07/2016,00:05:43,0,25/07/2016,12:05:43,12,PIPY,87,82,0.531153,BABA;RHFE;PLAUR,93,53.479,31.59,3.329,65.767,52.755,55.961,113.407,55.028,1.558,359.972,2.969,23.85,1,PIPY RHFE,,,1876,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1772.421,11.677,0_20160728_000545_421,28/07/2016,00:05:45,0,27/07/2016,12:05:45,12,PIPY,94,75,0.224431,RHFE,96,59.894,30.98,7.095,71.775,57.681,62.06,91.462,61.401,1.588,351.434,6.648,70.66,1,PIPY RHFE RHFE,,,1895,2,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1612.704,34.395,0_20160726_000605_704,26/07/2016,00:06:05,0,25/07/2016,12:06:05,12,PIPY,227,207,0.439982,BABA;RHFE;MYNA;PLAUR;NYLE,239,54.359,40.94,3.816,67.433,53.482,56.927,131.199,56.146,1.469,366.076,3.472,73.92,1,PIPY PIPY RHFE PIPY,,,2184,1,
Buckfastleigh,,122,R1,,20160726_233715.wac,0,1741.403,80.196,0_20160727_000616_403,27/07/2016,00:06:16,0,26/07/2016,12:06:16,12,RHFE,3,2,0.087639,RHHI,20,62.003,74,3.304,82.479,58.25,65.476,3768.118,64.252,1.261,-28.681,2.824,21.3,1,RHFE,,,731,1,
