Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
Buckfastleigh,26/06/2016,2,B2,,20160626_231000.wac,0,3008.652,13.247,0_20160627_000008_652,27/06/2016,00:00:08,0,26/06/2016,12:00:08,12,PIPY,25,18,0.163216,BABA;RHFE;PIPI;MYBE,30,55.853,23.79,2.564,60.459,54.743,56.917,388.551,56.866,0.876,155.879,2.021,12.43,1,PIPI PIPY PIPY PIPI PIPY PIPY RHFE PIPI
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,81.093,2.005,0_20160627_012807_093,27/06/2016,01:28:07,1,26/06/2016,13:28:07,13,RHFE,8,6,0.165115,PIPI;PIPY,8,74.707,2.09,5.764,75.928,71.85,74.606,279.336,74.824,2.661,305.222,5.187,2.44,1,PIPY RHFE
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,193.991,44.808,0_20160627_012959_991,27/06/2016,01:29:59,1,26/06/2016,13:29:59,13,PIPY,146,84,0.113624,BABA;PIPI;RHFE;MYBR;MYBE;MYNA;PINA,157,57.8,18.23,3.153,61.349,56.138,58.391,286.311,58.538,1.016,182.296,2.493,67.72,1,PIPY PIPY PIPI PIPY RHFE PIPI RHFE PIPY RHFE RHFE RHFE PIPI RHFE PIPI PIPY PIPI
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,238.885,3.713,0_20160627_013044_885,27/06/2016,01:30:44,1,26/06/2016,13:30:44,13,PIPY,9,4,0.04044,RHFE;PINA,9,65.173,17.88,2.829,68.57,63.997,65.875,106.116,66.006,0.908,151.731,2.711,4.27,1,PIPI RHFE PIPY
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,283.412,4.387,0_20160627_013129_412,27/06/2016,01:31:29,1,26/06/2016,13:31:29,13,RHFE,14,7,0.052716,PIPY;PIPI;PINA,14,66.198,20.3,3.029,69.138,65.241,66.954,230.016,67.145,0.914,139.592,2.453,3.69,1,PIPI PIPY RHFE PIPI
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,297.277,2.421,0_20160627_013143_277,27/06/2016,01:31:43,1,26/06/2016,13:31:43,13,PIPY,3,2,0.145494,RHFE,3,63.407,27.09,2.806,67.729,62.36,64.161,1115.25,64.58,0.391,311.266,2.449,0.84,1,PIPY PIPI RHFE
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,302.595,8.204,0_20160627_013148_595,27/06/2016,01:31:48,1,26/06/2016,13:31:48,13,PIPY,14,7,0.099358,BABA;PIPI;RHFE,15,56.988,21.39,2.452,59.546,55.366,57.313,555.037,57.721,0.529,311.847,1.874,7.71,1,PIPY PIPI RHFE RHFE PIPI
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,321.128,2.071,0_20160627_013207_128,27/06/2016,01:32:07,1,26/06/2016,13:32:07,13,RHFE,20,17,0.295952,BABA;PIPY,22,77.247,4.99,3.641,79.369,74.446,77.007,98.051,77.675,0.351,76.278,2.652,8.92,1,PIPI RHFE
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,349.319,2.98,0_20160627_013235_319,27/06/2016,01:32:35,1,26/06/2016,13:32:35,13,PIPY,8,5,0.109695,PIPI;RHFE,8,59.041,-8.36,2.623,62.616,57.772,59.638,323.636,58.926,0.92,88.68,1.971,3.65,1,PIPY RHFE PIPI
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,358.855,3.044,0_20160627_013244_855,27/06/2016,01:32:44,1,26/06/2016,13:32:44,13,RHFE,14,9,0.100714,PIPY,15,72.594,31.77,3.884,76.497,71.158,73.44,74.156,73.613,1.489,30.872,3.232,4.07,1,PIPY RHFE PIPY RHFE
Buckfastleigh,26/06/2016,2,B2,,20160627_012646.wac,0,380.724,24.475,0_20160627_013306_724,27/06/2016,01:33:06,1,26/06/2016,13:33:06,13,PIPY,58,48,0.366631,BABA;PIPI;MYBE;MYBR,65,51.658,26.78,2.451,55.6,50.947,52.62,346.957,52.593,0.896,210.523,2.071,17.37,1,PIPY RHFE PIPY PIPI RHFE PIPI PIPY RHFE
