Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,TIME,HOUR,TIME-12,HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,TOTAL GHS
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1157.803,2.196,0_20160809_033528_803,03:35:28,3,15:35:28,15,NoID,7,0,0,PIPY;MYNA;MYDAU,8,81.871,-2.25,9.681,84.352,79.082,81.712,48.877,81.56,2.904,197.397,8.624,3.99,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,2759.383,4.716,0_20160808_220204_383,22:02:04,22,10:02:04,10,PIPI,22,14,0.119915,RHFE;MYBR;MYBE,25,59.569,14.65,5.797,64.357,57.486,60.05,109.424,59.802,1.858,-70.552,4.602,26.35,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,1210.745,3.953,0_20160810_213339_745,21:33:39,21,09:33:39,9,PIPI,10,8,0.294375,MYBR;BABA,10,48.025,-47.81,2.55,50.397,46.216,47.795,250.438,47.65,0.816,139.355,1.841,5.52,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,241.324,15.475,0_20160810_211730_324,21:17:30,21,09:17:30,9,PIPI,90,55,0.136073,BABA;MYBR;PIPY;RHFE;MYBE,97,52.95,15.56,3.131,57.371,51.448,53.564,146.481,53.326,1.339,238.752,2.5,42.25,1,PIPI RHFE PIPI PIPI RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_051541.wac,0,77.785,2.313,0_20160810_051658_785,05:16:58,5,17:16:58,17,RHFE,16,14,0.139733,PINA;PIPI,17,74.549,10.08,4.66,76.986,72.767,74.542,38.814,74.652,1.02,168.27,4.286,6.1,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,3271.307,2.992,0_20160809_220944_307,22:09:44,22,10:09:44,10,RHFE,16,8,0.049725,PIPI;MYBE,16,63.195,31.63,4.298,70.298,61.676,64.633,111.843,63.634,1.811,226.822,3.242,3.27,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160808_222025.wac,0,512.771,2.328,0_20160808_222857_771,22:28:57,22,10:28:57,10,RHFE,14,14,0.680074,,14,81.902,19.08,6.257,84.305,79.698,82.115,34.025,82.812,2.247,181.331,5.261,4.62,1,RHFE RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,970.183,2.416,0_20160809_033221_183,03:32:21,3,15:32:21,15,RHFE,12,12,0.698556,,12,81.587,3.1,6.363,84.461,80.139,81.822,57.422,81.936,1.962,-46.26,5.145,4.07,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,128.352,2.047,0_20160810_211537_352,21:15:37,21,09:15:37,9,RHFE,2,2,0.744346,,2,82.908,-10.51,5.541,83.814,80.816,81.949,115.621,81.224,0.415,305.111,3.051,0.52,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,2962.375,2.024,0_20160808_220527_375,22:05:27,22,10:05:27,10,RHFE,4,4,0.634197,,4,81.65,2.04,6.758,84.711,80.612,82.119,95.228,82.058,4.128,-42.099,6.368,2.31,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,1867.641,4.057,0_20160809_214620_641,21:46:20,21,09:46:20,9,RHFE,22,16,0.166418,PIPI;PINA,26,70.012,27.2,5.962,74.629,66.758,70.455,95.092,70.714,1.99,162.708,4.008,8.86,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,1851.105,2.093,0_20160808_214656_105,21:46:56,21,09:46:56,9,RHFE,4,4,0.490354,,4,79.647,32.18,16.157,83.203,78.258,80.131,100.25,80.62,4.562,-56.904,14.551,5.94,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,543.576,2.223,0_20160808_212508_576,21:25:08,21,09:25:08,9,RHFE,5,5,0.508647,,6,81.791,-0.64,8.276,85.01,79.928,82.136,46.954,82.222,3.485,-296.56,7.993,3.04,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_201300.wac,0,3251.748,2.251,0_20160810_210711_748,21:07:11,21,09:07:11,9,RHFE,5,5,0.605089,,5,81.83,-34.78,9.529,83.926,77.673,81.037,37.685,80.673,3.664,-143.247,6.781,3.1,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,975.533,2.265,0_20160809_033226_533,03:32:26,3,15:32:26,15,RHFE,6,6,0.64631,,8,81.572,15.51,15.133,84.67,77.174,81.857,58.997,81.96,5.31,105.285,13.712,6.9,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,110.605,2.093,0_20160810_211519_605,21:15:19,21,09:15:19,9,RHFE,6,6,0.421803,,6,81.922,4.04,10.244,86.544,79.363,82.794,417.509,82.5,1.286,-414.784,9.462,6.13,1,RHHI RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1299.172,2.227,0_20160809_033750_172,03:37:50,3,15:37:50,15,RHFE,7,7,0.653402,,8,82.381,-3.43,10.37,85.52,79.73,82.353,41.504,82.062,3.696,143.154,8.213,5.35,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1232.192,2.307,0_20160809_033643_192,03:36:43,3,15:36:43,15,RHFE,7,7,0.526482,,7,82.52,-22.99,12.926,84.956,79,82.21,41.993,82.25,2.584,-243.49,11.75,6.92,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,1187.017,2.281,0_20160809_213500_017,21:35:00,21,09:35:00,9,RHFE,7,7,0.734481,,8,81.343,-22.01,9.55,84.479,78.756,80.998,45.074,80.922,1.857,104.652,8.234,4.76,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,512.655,2.144,0_20160809_212345_655,21:23:45,21,09:23:45,9,RHFE,7,7,0.742788,,7,80.714,16.73,6.194,83.131,79.026,81.261,61.537,81.404,1.547,-75.143,5.022,4.44,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,932.756,2.343,0_20160809_033143_756,03:31:43,3,15:31:43,15,RHFE,7,7,0.506015,,10,82.412,-1.04,14.625,86.563,79.215,82.391,39.388,82.157,5.679,381.771,13.279,4.68,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,1229.021,2.277,0_20160809_213542_021,21:35:42,21,09:35:42,9,RHFE,8,7,0.444452,MYBE,9,80.781,25.82,9.047,83.126,78.305,80.848,43.944,81.285,1.952,32.642,8.069,7.8,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,2682.836,2.163,0_20160808_220047_836,22:00:47,22,10:00:47,10,RHFE,8,8,0.605952,,10,80.539,43.74,7.613,83.74,77.444,81.061,150.448,81.337,3.21,127.867,6.586,4.13,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_222440.wac,0,1964.633,2.265,0_20160809_225724_633,22:57:24,22,10:57:24,10,RHFE,8,8,0.661749,,9,81.944,-8.09,7.039,85.108,78.928,81.926,60.938,82.132,1.862,169.318,5.746,6.34,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_041712.wac,0,245.991,2.308,0_20160809_042117_991,04:21:17,4,16:21:17,16,RHFE,9,8,0.296217,PINA,9,76.982,15.34,11.835,80.277,74.866,77.291,54.134,77.412,4.252,289.128,10.291,7.02,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_201300.wac,0,3116.848,2.351,0_20160810_210456_848,21:04:56,21,09:04:56,9,RHFE,9,9,0.552987,,11,80.282,11.07,12.038,83.928,76.245,80.611,38.806,80.769,4.977,-54.897,10.433,6.82,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1186.109,2.289,0_20160809_033557_109,03:35:57,3,15:35:57,15,RHFE,9,8,0.38999,PIPY,10,81.188,34.15,13.545,84.601,78.023,81.784,41.955,82.083,8.07,43.529,11.177,9.22,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1076.809,2.389,0_20160809_033407_809,03:34:07,3,15:34:07,15,RHFE,9,9,0.580843,,11,82.428,7.94,10.579,84.728,77.676,82.008,42.632,82.287,4.369,116.523,9.86,8.51,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,1032.181,2.317,0_20160808_213317_181,21:33:17,21,09:33:17,9,RHFE,9,9,0.690134,,11,81.964,-12.58,10.114,84.399,79.028,81.886,47.079,81.757,1.645,-104.337,8.782,8.01,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1053.793,2.305,0_20160809_033344_793,03:33:44,3,15:33:44,15,RHFE,10,10,0.546032,,10,81.986,0.39,9.237,85.221,78.519,82.027,61.55,82.153,2.588,53.45,8.616,4.37,1,RHFE,
