Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
High Marks Barn,22/08/2016,52,A1,,20160822_205603.wav,0,0,2.02,0_20160822_205603_000,22/08/2016,20:56:03,20,08:56:03,8,NoID,2,0,0,PINA,2,62.075,-7.24,10.902,63.163,61.224,62.062,88.543,62.287,0.603,189.924,9.983,2.74,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_051617.wav,0,0,4.555,0_20160823_051617_000,23/08/2016,05:16:17,5,17:16:17,17,PIPI,14,7,0.059939,RHFE;PINA;MYBE,15,58.286,13.8,6.369,61.132,56.358,58.504,152.192,58.608,3.283,-17.124,5.64,11.05,1,RHFE PIPI
High Marks Barn,22/08/2016,52,A1,,20160822_215454.wav,0,0,2.185,0_20160822_215454_000,22/08/2016,21:54:54,21,09:54:54,9,RHFE,2,2,0.604623,,4,81.437,-1.62,30.457,84.519,72.601,81.29,66.979,81.854,11.134,13.94,28.959,1.66,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_050148.wav,0,0,2.161,0_20160823_050148_000,23/08/2016,05:01:48,5,17:01:48,17,RHFE,8,8,0.76746,,8,79.82,5.98,8.419,81.68,77.629,80.218,49.47,80.429,0.468,232.931,7.168,5.05,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160822_214907.wav,0,0,2.267,0_20160822_214907_000,22/08/2016,21:49:07,21,09:49:07,9,RHFE,8,8,0.676591,,8,81.76,1.49,10.62,83.661,78.511,81.644,51.56,81.543,1.686,-95.21,9.206,3.78,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_001748.wav,0,0,2.359,0_20160823_001748_000,23/08/2016,00:17:48,0,12:17:48,12,RHFE,11,9,0.305639,PINA;PIPI,13,76.005,-16.52,7.789,79.054,72.818,75.731,37.496,75.527,3.557,39.961,6.416,4.66,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160822_212008.wav,0,0,4.145,0_20160822_212008_000,22/08/2016,21:20:08,21,09:20:08,9,RHFE,2,2,0.567469,,2,81.224,61.35,5.52,83.351,79.703,82.176,2032.766,82.926,2.413,76.273,3.612,0.7,1,RHFE MYO RHFE
High Marks Barn,22/08/2016,52,A1,,20160822_215505.wav,0,0,3.888,0_20160822_215505_000,22/08/2016,21:55:05,21,09:55:05,9,RHFE,12,11,0.472835,PIPI,14,79.27,1.67,7.117,82.287,75.088,79.26,162.685,79.422,2.301,4.276,5.391,7.32,1,RHFE PIPI
High Marks Barn,22/08/2016,52,A1,,20160823_213614.wav,0,0,2.143,0_20160823_213614_000,23/08/2016,21:36:14,21,09:36:14,9,RHFE,3,3,0.803853,,3,81.361,-0.22,10.549,83.087,80,81.557,66.466,81.361,0.558,395.682,9.974,1.36,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_214135.wav,0,0,2.193,0_20160823_214135_000,23/08/2016,21:41:35,21,09:41:35,9,RHFE,6,6,0.641958,,6,81.235,16.31,5.293,85.282,78.11,81.692,37.779,81.791,2.005,287.758,4.894,3.68,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160822_221448.wav,0,0,2.668,0_20160822_221448_000,22/08/2016,22:14:48,22,10:14:48,10,RHFE,6,5,0.34926,PINA,6,74.286,1.39,3.423,75.947,72.575,74.427,53.357,74.489,0.413,228.085,3.095,2.96,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_210619.wav,0,0,2.027,0_20160823_210619_000,23/08/2016,21:06:19,21,09:06:19,9,RHFE,6,6,0.607997,,6,81.366,-3.92,7.954,83.277,75.898,80.789,59.659,80.833,2.8,-450.427,7.24,3.18,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160822_222220.wav,0,0,2.019,0_20160822_222220_000,22/08/2016,22:22:20,22,10:22:20,10,RHFE,2,2,0.793622,,2,80.408,-6.37,4.956,81.633,78.824,80.279,94.88,79.608,0.947,-2.989,4.956,1.22,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_050707.wav,0,0,2.019,0_20160823_050707_000,23/08/2016,05:07:07,5,17:07:07,17,RHFE,2,2,0.781186,,2,81.224,1.69,3.204,82.483,79.639,81.093,69.35,81.65,0.049,-204.719,2.786,1.01,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_222747.wav,0,0,2.992,0_20160823_222747_000,23/08/2016,22:27:47,22,10:27:47,10,RHFE,16,13,0.277332,PINA;PIPI,16,73.929,16.21,7.321,77.023,70.253,74.197,83.503,74.367,3.292,-77.396,5.434,5.35,1,RHFE PIPI
High Marks Barn,22/08/2016,52,A1,,20160823_210032.wav,0,0,2.141,0_20160823_210032_000,23/08/2016,21:00:32,21,09:00:32,9,RHFE,3,3,0.739614,,3,82.483,1.08,7.434,83.924,79.365,82.489,93.532,82.506,0.921,89.049,4.482,0.78,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160822_211440.wav,0,0,4.009,0_20160822_211440_000,22/08/2016,21:14:40,21,09:14:40,9,RHFE,18,16,0.398209,PINA,18,77.698,7.66,9.577,79.89,75.543,77.842,117.645,78.208,2.335,-98.093,7.623,7.68,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160823_052556.wav,0,0,2.075,0_20160823_052556_000,23/08/2016,05:25:56,5,17:25:56,17,RHFE,2,2,0.572053,,2,79.231,17.88,29.943,82.075,77.357,80.24,63.609,80.816,2.128,356.181,26.533,1.15,1,RHFE
High Marks Barn,22/08/2016,52,A1,,20160822_212714.wav,0,0,2.124,0_20160822_212714_000,22/08/2016,21:27:14,21,09:27:14,9,RHFE,3,2,0.14437,PIPI,3,70.691,-4.43,6.551,71.357,69.488,70.346,894.505,70.598,0.148,-118.871,6.2,2.94,1,RHFE
